,asw_ids,stop_platform
252,81_54,Tusarova Z4
253,82_1,Bílenecké náměstí A
254,82_2,Bílenecké náměstí B
255,83_1,Divadlo Na Fidlovačce A
256,83_2,Divadlo Na Fidlovačce B
257,84_1,Dívčí hrady A
258,84_2,Dívčí hrady B
259,84_3,Dívčí hrady C
260,85_1,Divoká Šárka A
262,85_2,Divoká Šárka B
263,85_3,Divoká Šárka C
264,85_4,Divoká Šárka D
265,85_6,Divoká Šárka F
266,85_8,Divoká Šárka H
267,85_9,Divoká Šárka E
268,85_408,Divoká Šárka H
269,85_409,Divoká Šárka I
270,87_1,Dlouhá třída A
271,87_2,Dlouhá třída B
272,88_1,Dobeška A
273,88_2,Dobeška B
274,89_1,Dobratická A
276,89_2,Dobratická B
278,90_1,Dobročovická A
279,90_2,Dobročovická B
280,91_1,Dobronická A
281,91_2,Dobronická B
282,92_1,Prunéřovská A
284,92_2,Prunéřovská B
286,93_1,Dolní Chabry A
287,93_2,Dolní Chabry B
288,94_1,Osecká A
289,94_3,Osecká C
290,96_1,Dolnoměcholupská A
292,96_2,Dolnoměcholupská B
294,96_3,U Střediska C
296,96_4,U Střediska D
298,97_1,Dolní Počernice A
299,97_2,Dolní Počernice B
300,97_3,Dolní Počernice C
301,98_1,Doliny A
302,98_2,Doliny B
303,99_1,Donovalská A
304,99_2,Donovalská B
305,100_1,Vltavská A
306,100_2,Vltavská B
307,100_3,Vltavská C
308,100_4,Vltavská D
309,100_5,Vltavská E
310,100_6,Vltavská F
311,100_11,Bubenská K
312,100_101,Vltavská 1
313,100_102,Vltavská 2
314,102_2,Dostihová B
316,103_1,Drinopol A
317,103_2,Drinopol B
318,104_1,Jiviny A
319,104_2,Jiviny B
320,104_4,Jiviny D
321,105_1,Druhanická A
323,106_1,Opatov A
325,106_2,Opatov B
326,106_4,Opatov G
328,106_6,Opatov F
330,106_101,Opatov 1
331,106_102,Opatov 2
332,107_1,Škola Dubeč A
334,107_2,Škola Dubeč B
336,108_1,Dubeček A
338,108_2,Dubeček B
340,109_1,Důstojnické domy A
342,109_2,Důstojnické domy B
344,110_1,Dvorce A
345,110_2,Dvorce B
346,110_5,Dvorce E
347,110_6,Dvorce F
348,110_7,Dvorce G
349,110_8,Dvorce H
350,111_1,Výhledské náměstí A
352,111_2,Výhledské náměstí B
354,112_1,Dyrinka A
355,112_2,Dyrinka B
356,113_1,Hlušičkova A
357,113_2,Hlušičkova B
358,113_3,Hlušičkova C
360,113_4,Hlušičkova D
362,114_1,Krystalová A
363,114_3,Krystalová C
364,115_1,Nádraží Holešovice G
365,115_2,Nádraží Holešovice H
366,115_3,Nádraží Holešovice A
367,115_4,Nádraží Holešovice B
368,115_6,Nádraží Holešovice V
369,115_8,Nádraží Holešovice D
370,115_9,Nádraží Holešovice C
371,115_11,Nádraží Holešovice I
372,115_51,Nádraží Holešovice J
373,115_101,Nádraží Holešovice 1
374,115_102,Nádraží Holešovice 2
375,116_1,Farkáň A
376,116_2,Farkáň B
377,117_1,Filmové ateliéry Barrandov A
378,117_2,Filmové ateliéry Barrandov B
379,117_3,Filmové ateliéry Barrandov C
380,118_1,Flora A
381,118_2,Flora B
382,118_3,Flora C
383,118_4,Flora D
384,118_101,Flora 1
385,118_102,Flora 2
386,120_1,Frančíkova A
388,120_2,Frančíkova B
390,121_1,Franty Kocourka A
391,122_1,Náměstí U Lva A
393,122_2,Náměstí U Lva B
395,123_1,Fruta A
397,123_2,Fruta B
399,124_1,Filosofská A
400,124_2,Filosofská B
401,125_1,Fryčovická A
403,125_2,Fryčovická B
405,126_1,Nádraží Podbaba A
407,126_2,Nádraží Podbaba B
409,126_3,Nádraží Podbaba C
410,127_1,Na Staré cestě A
411,127_2,Na Staré cestě B
412,128_1,Habrová A
413,128_2,Habrová B
414,128_3,Habrová C
415,129_1,Hadovitá A
416,129_2,Hadovitá B
417,130_1,Hadovka A
418,130_2,Hadovka B
419,131_1,Hájek A
421,131_2,Hájek B
423,132_1,Hájová A
424,132_2,Hájová B
425,133_1,Hanspaulka A
426,133_2,Hanspaulka B
427,134_1,Nádraží Libeň A
428,134_2,Nádraží Libeň B
429,134_4,Nádraží Libeň D
430,134_5,Nádraží Libeň C
431,135_1,Hloubětín A
432,135_2,Hloubětín B
433,135_3,Hloubětín C
434,135_4,Hloubětín D
435,135_5,Hloubětín E
436,135_101,Hloubětín 1
437,135_102,Hloubětín 2
438,136_1,Lnářská A
440,136_2,Lnářská B
442,137_1,Hejtmanská A
443,137_2,Hejtmanská B
444,138_1,Hellichova A
445,138_2,Hellichova B
446,139_1,Hercovka A
447,139_2,Hercovka B
448,140_1,Park Maxe van der Stoela A
449,140_2,Park Maxe van der Stoela B
450,140_3,Hládkov C
451,140_5,Park Maxe van der Stoela E
452,140_6,Park Maxe van der Stoela F
453,141_1,Hlavní A
454,141_2,Hlavní B
455,141_3,Hlavní C
456,142_1,Hlavní nádraží A
457,142_2,Hlavní nádraží B
458,142_3,Hlavní nádraží G
459,142_4,Hlavní nádraží H
460,142_5,Hlavní nádraží F
461,142_101,Hlavní nádraží 1
462,142_102,Hlavní nádraží 2
463,143_1,Hlohová A
464,143_2,Hlohová B
465,144_1,Starý Hloubětín A
466,144_2,Starý Hloubětín B
467,144_5,Starý Hloubětín F
468,144_6,Starý Hloubětín V
469,145_1,Mladějovská A
471,145_2,Mladějovská B
473,146_1,Nádraží Hlubočepy A
474,146_2,Nádraží Hlubočepy B
475,147_3,Hlubočepy C
476,147_4,Hlubočepy D
477,147_5,Hlubočepy E
478,147_6,Hlubočepy F
