,asw_ids,stop_platform
5435,2120_3,Hostouň C
5436,2120_4,Hostouň D
5437,2121_1,Čachovice A
5438,2121_2,Čachovice B
5439,2122_1,"Řitka,Bučina A"
5440,2122_2,"Řitka,Bučina B"
5441,2123_1,Krušovice A
5442,2123_2,Krušovice B
5443,2124_1,"Dobrovíz,Obecní úřad A"
5444,2124_2,"Dobrovíz,Obecní úřad B"
5445,2124_401,"Dobrovíz,Obecní úřad A"
5446,2125_1,"Holubice,Kozinec,Habrová A"
5447,2127_1,"Psáry,Domov Laguna A"
5448,2127_2,"Psáry,Domov Laguna B"
5449,2128_1,Psáry A
5450,2128_2,Psáry B
5451,2129_1,"Psáry,Štědřík A"
5452,2129_2,"Psáry,Štědřík B"
5453,2130_1,"Psáry,Dolní Jirčany A"
5454,2130_2,"Psáry,Dolní Jirčany B"
5455,2132_1,"Hostouň,u hřiště A"
5456,2132_2,"Hostouň,u hřiště B"
5457,2133_1,Dobrovíz A
5458,2133_2,Dobrovíz B
5459,2134_1,"Kněževes,U Nádraží A"
5460,2134_2,"Kněževes,U Nádraží B"
5461,2134_401,"Kněževes,U Nádraží A"
5462,2134_402,"Kněževes,U Nádraží B"
5463,2135_1,Kněževes A
5464,2135_2,Kněževes B
5465,2137_1,Uhříněveský hřbitov A
5466,2137_2,Uhříněveský hřbitov B
5467,2138_1,"Benešov,Benica A"
5468,2138_2,"Benešov,Benica B"
5469,2139_1,"Benešov,Lidl A"
5470,2139_2,"Benešov,Lidl B"
5471,2140_1,"Tuchoměřice,Komerční zóna A"
5472,2141_1,"Říčany,5.května A"
5473,2141_2,"Říčany,5.května B"
5474,2141_3,"Říčany,5.května A"
5475,2141_11,"Říčany,5.května C"
5476,2141_12,"Říčany,5.května B"
5477,2141_13,"Říčany,5.května A"
5478,2142_1,"Říčany,nádraží A"
5479,2142_2,"Říčany,nádraží B"
5480,2142_11,"Říčany,nádraží A"
5481,2142_12,"Říčany,nádraží B"
5482,2143_1,"Lišany,u ovčína A"
5483,2143_2,"Lišany,u ovčína A"
5484,2144_1,"Zvánovice,Kádov A"
5485,2144_2,"Zvánovice,Kádov B"
5486,2145_1,Malotice A
5487,2145_2,Malotice B
5488,2146_1,"Oleška,Brník A"
5489,2146_2,"Oleška,Brník B"
5490,2147_1,"Oleška,Králka A"
5491,2147_2,"Oleška,Králka B"
5492,2148_1,"Oleška,Bulánka A"
5493,2148_2,"Oleška,Bulánka B"
5494,2149_1,"Zásmuky,Doubravčany A"
5495,2149_2,"Zásmuky,Doubravčany B"
5496,2150_1,"Zásmuky,rozc.Vršice A"
5497,2150_2,"Zásmuky,rozc.Vršice B"
5498,2151_1,"Zásmuky,nám. A"
5499,2151_2,"Zásmuky,nám. B"
5500,2151_3,"Zásmuky,nám. C"
5501,2152_1,"Velké Přílepy,Pražská A"
5502,2152_2,"Velké Přílepy,Pražská B"
5503,2153_1,"Zásmuky,u sokolovny A"
5504,2153_2,"Zásmuky,u sokolovny B"
5505,2154_1,"Bečváry,žel.st. A"
5506,2154_2,"Bečváry,žel.st. B"
5507,2155_1,Bečváry A
5508,2155_2,Bečváry B
5509,2156_2,Suchdol B
5510,2157_1,"Uhlířské Janovice,nám. A"
5511,2157_2,"Uhlířské Janovice,nám. B"
5512,2158_1,Poříčí n.Sáz. A
5513,2158_2,Poříčí n.Sáz. B
5514,2159_1,Staňkovice A
5515,2159_2,Staňkovice B
5516,2160_1,"Úžice,Mělník,rozc. A"
5517,2160_2,"Úžice,Mělník,rozc. B"
5518,2161_1,"Úžice,Benátky A"
5519,2161_2,"Úžice,Benátky B"
5520,2162_1,"Úžice,Smrk,rozc. A"
5521,2162_2,"Úžice,Smrk,rozc. B"
5522,2163_1,"Úžice,Čekanov,Pražská A"
5523,2163_2,"Úžice,Čekanov,Pražská B"
5524,2164_1,"Úžice,Chrastná,rozc. A"
5525,2164_2,"Úžice,Chrastná,rozc. B"
5526,2165_1,"Prusice,Rozc. A"
5527,2165_2,"Prusice,Rozc. B"
5528,2166_1,"Zásmuky,Dupanda A"
5529,2166_2,"Zásmuky,Dupanda B"
5530,2167_1,"Svojetice,U Hájenky A"
5531,2167_2,"Svojetice,U Hájenky B"
5532,2168_1,"Ondřejov,Turkovická A"
5533,2168_2,"Ondřejov,Turkovická B"
5534,2169_1,"Rudná,Celní úřad A"
5535,2169_2,"Rudná,Celní úřad B"
5536,2171_1,"Beroun,Lištice A"
5537,2171_2,"Beroun,Lištice B"
5538,2172_3,"Beroun,Prof.Veselého 3"
5539,2173_1,"Beroun,Hostímská A"
5540,2173_2,"Beroun,Hostímská B"
5541,2174_1,"Staňkovice,Smilovice,rozc. A"
5542,2174_2,"Staňkovice,Smilovice,rozc. B"
5543,2175_1,"Staňkovice,Chlum A"
5544,2175_2,"Staňkovice,Chlum B"
5545,2176_1,"Staňkovice,Ostašov A"
5546,2176_2,"Staňkovice,Ostašov B"
5547,2177_1,"Staňkovice,Nová Ves A"
5548,2177_2,"Staňkovice,Nová Ves B"
5549,2178_1,"Bečváry,Poďousy,rozc. A"
5550,2178_2,"Bečváry,Poďousy,rozc. B"
5551,2178_3,"Bečváry,Poďousy,rozc. 3"
5552,2178_4,"Bečváry,Poďousy,rozc. 4"
5553,2179_1,"Ratboř,rozc.Těšínky A"
5554,2179_2,"Ratboř,rozc.Těšínky B"
5555,2180_1,"Kořenice,rozc.Chotouchov A"
5556,2180_2,"Kořenice,rozc.Chotouchov B"
5557,2181_1,"Poříčí n.Sáz.,Rozc.Nové Městečko A"
5558,2181_2,"Poříčí n.Sáz.,Rozc.Nové Městečko B"
5559,2182_1,Tišice A
5560,2183_1,"Tišice,Záv.Kafilerie A"
5561,2183_2,"Tišice,Záv.Kafilerie B"
5562,2184_1,"Tišice,Kozly A"
5563,2184_2,"Tišice,Kozly B"
5564,2185_1,"Tišice,Chrást A"
5565,2186_1,"Nedomice,Křížek 1"
5566,2186_2,"Nedomice,Křížek 2"
5567,2187_1,"Všetaty,Přívory A"
5568,2187_2,"Všetaty,Přívory B"
5569,2188_1,"Kostelec n.L.,U Starého Labe A"
5570,2188_2,"Kostelec n.L.,U Starého Labe B"
5571,2189_1,Záryby A
5572,2189_2,Záryby B
5573,2190_1,"Dřevčice,Rozc.Jenštejn A"
5574,2190_2,"Dřevčice,Rozc.Jenštejn B"
5575,2191_1,Voznice A
5576,2191_2,Voznice B
5577,2193_1,"Jenštejn,Dehtáry A"
5578,2193_2,"Jenštejn,Dehtáry B"
5579,2194_1,Svémyslice A
5580,2194_2,Svémyslice B
5581,2195_1,"Zápy,Ostrov lázně A"
5582,2195_2,"Zápy,Ostrov lázně B"
5583,2196_1,Zápy A
5584,2196_2,Zápy B
5585,2198_1,"Skorkov,Otradovice,Křiž. A"
5586,2198_2,"Skorkov,Otradovice,Křiž. B"
5587,2199_1,Sojovice A
5588,2199_2,Sojovice B
5589,2200_1,"Skorkov,Podbrahy A"
5590,2200_2,"Skorkov,Podbrahy B"
5591,2201_1,Skorkov A
5592,2201_2,Skorkov B
5593,2202_1,"Brandýs n.L.-St.Bol.,Fakulta A"
5594,2202_2,"Brandýs n.L.-St.Bol.,Fakulta B"
5595,2203_1,"Brandýs n.L.-St.Bol.,Na Radosti A"
5596,2203_2,"Brandýs n.L.-St.Bol.,Na Radosti B"
5597,2204_1,"Brandýs n.L.-St.Bol.,Kralovice A"
5598,2204_2,"Brandýs n.L.-St.Bol.,Kralovice B"
5599,2205_1,"Skorkov,Otradovice A"
5600,2206_1,"Zápy,PREFA A"
5601,2207_1,"Lázně Toušeň,Zast. A"
5602,2207_2,"Lázně Toušeň,Zast. B"
5603,2208_1,Lázně Toušeň A
5604,2208_2,Lázně Toušeň B
5605,2209_1,"Strančice,škola A"
5606,2210_1,"Čelákovice,V Prokopě A"
5607,2210_2,"Čelákovice,V Prokopě B"
5608,2211_1,"Čelákovice,Rumunská A"
5609,2211_2,"Čelákovice,Rumunská B"
5610,2213_1,"Čelákovice,Nám. B"
5611,2213_2,"Čelákovice,Nám. A"
5612,2215_1,"Odolena Voda,Závod A"
5613,2215_2,"Odolena Voda,Závod B"
5614,2215_3,"Odolena Voda,Závod C"
5615,2215_4,"Odolena Voda,Závod D"
5616,2216_1,"Zdiby,U Parku A"
5617,2216_2,"Zdiby,U Parku B"
5618,2217_1,"Klecany,Zdibsko A"
5619,2217_2,"Klecany,Zdibsko B"
5620,2217_3,"Klecany,Zdibsko C"
5621,2218_1,Klíčany A
5622,2218_2,Klíčany B
5623,2219_1,"Klecany,D8 Park A"
5624,2220_1,"Odolena Voda,Komenského A"
5625,2220_2,"Odolena Voda,Komenského 2"
5626,2221_1,"Odolena Voda,Dolínek,Vodolská A"
5627,2222_1,"Odolena Voda,Dolní náměstí A"
5628,2222_2,"Odolena Voda,Dolní náměstí B"
5629,2223_1,Postřižín A
5630,2223_2,Postřižín B
5631,2224_1,Kozomín A
5632,2224_2,Kozomín B
5633,2225_1,"Kozomín,Rozc. A"
5634,2225_2,"Kozomín,Rozc. B"
5635,2226_1,Zlončice A
5636,2226_2,Zlončice B
5637,2227_1,Chvatěruby A
5638,2227_2,Chvatěruby B
5639,2228_1,"Veltrusy,Hřiště A"
5640,2228_2,"Veltrusy,Hřiště B"
5641,2229_1,"Zdiby,Výzkumný ústav A"
5642,2229_2,"Zdiby,Výzkumný ústav B"
5643,2230_1,"Říčany,Voděradská A"
5644,2230_2,"Říčany,Voděradská B"
5645,2230_11,"Říčany,Voděradská A"
5646,2230_12,"Říčany,Voděradská B"
5647,2231_1,"Kralupy n.Vlt.,Synthos A"
5648,2231_2,"Kralupy n.Vlt.,Synthos B"
5649,2232_1,"Kralupy n.Vlt.,Kovošrot A"
5650,2232_2,"Kralupy n.Vlt.,Kovošrot B"
5651,2234_1,"Kralupy n.Vlt.,Lobeček,Rozc. A"
5652,2234_2,"Kralupy n.Vlt.,Lobeček,Rozc. B"
5653,2235_1,"Kralupy n.Vlt.,kulturní dům A"
5654,2235_2,"Kralupy n.Vlt.,kulturní dům B"
5655,2236_1,"Kralupy n.Vlt.,žel.st. 1"
5656,2236_2,"Kralupy n.Vlt.,žel.st. 2"
5657,2236_3,"Kralupy n.Vlt.,žel.st. 3"
5658,2236_6,"Kralupy n.Vlt.,žel.st. 6"
5659,2237_2,Zdiby B
5660,2238_1,"Zdiby,Veltěž,Pošta A"
5661,2238_2,"Zdiby,Veltěž,Pošta B"
5662,2239_1,"Zdiby,Veltěž A"
5663,2239_2,"Zdiby,Veltěž B"
5664,2240_1,"Zdiby,Přemyšlení A"
5665,2240_2,"Zdiby,Přemyšlení B"
5666,2241_1,"Klecany,U Hřbitova A"
5667,2241_2,"Klecany,U Hřbitova B"
5668,2242_1,Klecany A
5669,2242_2,Klecany B
5670,2243_2,"Klecany,Klecánky B"
5671,2244_1,"Klecany,U Kostela A"
5672,2244_2,"Klecany,U Kostela B"
5673,2245_1,"Husinec,Rozc. A"
5674,2245_2,"Husinec,Rozc. B"
5675,2246_1,"Husinec,Řež,Sídliště A"
5676,2246_2,"Husinec,Řež,Sídliště B"
5677,2247_1,"Husinec,Řež A"
5678,2247_2,"Husinec,Řež B"
5679,2248_2,"Husinec,Řež,Záv. B"
5680,2249_1,Sedlec A
5681,2249_2,Sedlec B
5682,2250_1,Bašť A
5683,2250_2,Bašť B
5684,2251_1,Větrušice A
5685,2252_1,"Klecany,Drasty,Čistírna A"
5686,2252_2,"Klecany,Drasty,Čistírna B"
5687,2253_1,"Klecany,Drasty A"
5688,2253_2,"Klecany,Drasty B"
5689,2254_2,"Vodochody,Hoštice B"
5690,2255_1,"Vodochody,Rozc.Hoštice A"
5691,2255_2,"Vodochody,Rozc.Hoštice B"
5692,2256_1,Vodochody A
5693,2256_2,Vodochody B
5694,2257_1,"Vodochody,U Školy A"
5695,2257_2,"Vodochody,U Školy B"
5696,2258_1,Máslovice A
5697,2259_1,"Postřižín,U Kapličky A"
5698,2259_2,"Postřižín,U Kapličky B"
5699,2260_1,"Odolena Voda,Ke Stadionu A"
5700,2260_2,"Odolena Voda,Ke Stadionu B"
5701,2261_1,"Panenské Břežany,Zámek A"
5702,2261_2,"Panenské Břežany,Zámek B"
5703,2262_1,Panenské Břežany A
5704,2262_2,Panenské Břežany B
5705,2263_1,"Odolena Voda,Dolínek A"
5706,2263_2,"Odolena Voda,Dolínek B"
5707,2264_1,"Zdiby,U Celnice A"
5708,2264_2,"Zdiby,U Celnice B"
5709,2265_3,"Úžice,Kopeč C"
5710,2266_1,Veliká Ves A
5711,2267_1,"Neratovice,Korycany A"
5712,2267_2,"Neratovice,Korycany B"
5713,2268_1,"Bašť,Baštěk A"
5714,2268_2,"Bašť,Baštěk B"
5715,2269_1,"Český Brod,Žel.st. A"
5716,2269_4,"Český Brod,Žel.st. C"
5717,2269_5,"Český Brod,Žel.st. V2"
5718,2269_6,"Český Brod,Žel.st. B"
5719,2270_1,"Český Brod,Jana Kouly A"
5720,2270_2,"Český Brod,Jana Kouly B"
5721,2272_1,"Český Brod,U Vodárny A"
5722,2272_2,"Český Brod,U Vodárny B"
5723,2273_1,"Tismice,bytovky A"
5724,2273_2,"Tismice,bytovky B"
5725,2274_1,"Český Brod,Liblice,Bylanská A"
5726,2274_2,"Český Brod,Liblice,Bylanská B"
5727,2276_1,Nádraží Běchovice střed A
5728,2276_2,Nádraží Běchovice střed B
5729,2278_1,"Černošice,Mokropsy žel.zast. A"
5730,2279_1,"Všenory,žel.zast. A"
5731,2279_2,"Všenory,žel.zast. B"
5732,2280_1,"Řevnice,Nádraží 1"
5733,2282_1,"Semice,Rozc.Velenka A"
5734,2282_2,"Semice,Rozc.Velenka B"
5735,2283_1,"Roztoky,Solníky A"
5736,2284_1,"Dolany n.Vlt.,Debrno A"
5737,2284_2,"Dolany n.Vlt.,Debrno B"
5738,2285_1,"Kralupy n.Vlt.,Poděbradova A"
5739,2285_2,"Kralupy n.Vlt.,Poděbradova B"
5740,2286_1,"Kralupy n.Vlt.,Městský úřad A"
5741,2286_2,"Kralupy n.Vlt.,Městský úřad B"
5742,2287_1,"Kostelec n.Č.l.,Svatbín A"
5743,2287_2,"Kostelec n.Č.l.,Svatbín B"
5744,2288_1,"Sulice,Želivec,Mandava A"
5745,2288_2,"Sulice,Želivec,Mandava B"
5746,2289_1,Krupá A
5747,2289_2,Krupá B
5748,2290_1,"Krupá,Rozc.Syneč A"
5749,2290_2,"Krupá,Rozc.Syneč B"
5750,2291_1,"Krupá,Dvůr Chrást A"
5751,2291_2,"Krupá,Dvůr Chrást B"
5752,2292_1,Dvory A
5753,2292_2,Dvory B
5754,2293_1,Přistoupim A
5755,2293_2,Přistoupim B
5756,2294_1,"Přistoupim,Rozc. A"
5757,2294_2,"Přistoupim,Rozc. B"
5758,2295_1,"Kostelec n.Č.l.,Truba A"
5759,2295_2,"Kostelec n.Č.l.,Truba B"
5760,2296_1,Přehvozdí A
5761,2296_2,Přehvozdí B
5762,2297_1,"Přehvozdí,U Hřbitova A"
5763,2298_1,Tuchoraz A
5764,2298_2,Tuchoraz B
5765,2299_1,"Tuchoraz,U Sadů A"
5766,2299_2,"Tuchoraz,U Sadů B"
5767,2300_1,Kouřim A
5768,2300_2,Kouřim B
5769,2301_1,"Kouřim,ZŠ A"
5770,2301_2,"Kouřim,ZŠ B"
5771,2301_3,"Kouřim,ZŠ C"
5772,2301_4,"Kouřim,ZŠ D"
5773,2302_1,"Kouřim,Skanzen A"
5774,2302_2,"Kouřim,Skanzen B"
5775,2303_1,"Kouřim,Molitorov A"
5776,2303_2,"Kouřim,Molitorov B"
5777,2304_1,"Jenštejn,Domov seniorů A"
5778,2304_2,"Jenštejn,Domov seniorů B"
5779,2305_1,"Vitice,Dobré Pole A"
5780,2305_2,"Vitice,Dobré Pole B"
5781,2305_3,"Vitice,Dobré Pole C"
5782,2305_4,"Vitice,Dobré Pole D"
5783,2306_1,"Vitice,Močedník A"
5784,2306_2,"Vitice,Močedník B"
5785,2307_1,"Oleška,Brník,U Rybníka A"
5786,2307_2,"Oleška,Brník,U Rybníka B"
5787,2308_1,Vitice A
5788,2308_2,Vitice B
5789,2309_1,"Vitice,U Školy A"
5790,2309_2,"Vitice,U Školy B"
5791,2310_1,"Vitice,Hřiby A"
5792,2310_2,"Vitice,Hřiby B"
5793,2311_1,Dobročovice A
5794,2311_2,Dobročovice B
5795,2312_1,Kšely A
5796,2312_2,Kšely B
5797,2313_1,"Vitice,Chotýš A"
5798,2313_2,"Vitice,Chotýš B"
5799,2314_1,"Klučov,U mlýna A"
5800,2315_1,"Úvaly,Husova A"
5801,2316_1,"Dobrovice,Libichov,hl.sil. A"
5802,2316_2,"Dobrovice,Libichov,hl.sil. B"
5803,2317_1,"Úvaly,Radlická čtvrť A"
5804,2317_2,"Úvaly,Radlická čtvrť B"
5805,2318_1,"Roblín,Hájovna A"
5806,2318_2,"Roblín,Hájovna B"
5807,2319_1,"Kostelec n.Č.l.,Komenského A"
5808,2319_2,"Kostelec n.Č.l.,Komenského B"
5809,2320_1,"Kostelec n.Č.l.,Chaloupky A"
5810,2320_2,"Kostelec n.Č.l.,Chaloupky B"
5811,2321_1,"Rudná,Hewlett-Packard A"
5812,2321_2,"Rudná,Hewlett-Packard B"
5813,2322_1,"Rudná,Vypich A"
5814,2322_2,"Rudná,Vypich B"
5815,2323_1,"Rudná,Nerudova A"
5816,2323_2,"Rudná,Nerudova B"
5817,2324_1,"Rudná,V Brance A"
5818,2324_2,"Rudná,V Brance B"
5819,2325_1,"Klecany,Astrapark A"
5820,2326_1,"Všetaty,Přívory,Průhon A"
5821,2326_2,"Všetaty,Přívory,Průhon B"
5822,2327_1,"Bašť,Měšická A"
5823,2327_2,"Bašť,Měšická B"
5824,2328_1,Polerady A
5825,2328_2,Polerady B
5826,2329_1,"Veleň,U Pomníku A"
5827,2329_2,"Veleň,U Pomníku B"
5828,2330_1,Předboj A
5829,2330_2,Předboj B
5830,2331_1,Zlonín A
5831,2331_2,Zlonín B
5832,2332_1,"Líbeznice,Pošta A"
5833,2332_2,"Líbeznice,Pošta B"
5834,2333_1,"Rožmitál p.Tř.,Voltuš 1"
5835,2333_2,"Rožmitál p.Tř.,Voltuš 2"
5836,2334_1,"Neratovice,Byškovice A"
5837,2334_2,"Neratovice,Byškovice B"
5838,2335_1,"Neratovice,U Vojtěcha A"
5839,2335_2,"Neratovice,U Vojtěcha B"
5840,2336_1,"Libiš,Ke Spolaně A"
5841,2336_2,"Libiš,Ke Spolaně B"
5842,2337_1,Úžice A
5843,2337_2,Úžice B
5844,2338_1,"Úžice,Červená Lhota A"
5845,2338_2,"Úžice,Červená Lhota B"
5846,2339_1,"Dřínov,Stavadla A"
5847,2339_2,"Dřínov,Stavadla B"
5848,2340_1,"Dřínov,U Rybníka A"
5849,2340_2,"Dřínov,U Rybníka B"
5850,2341_1,Újezdec A
5851,2341_2,Újezdec B
5852,2342_1,Chlumín A
5853,2342_2,Chlumín B
5854,2343_1,"Kojetice,Rozc. A"
5855,2343_2,"Kojetice,Rozc. B"
5856,2345_1,"Kojetice,Žel.st. A"
5857,2345_2,"Kojetice,Žel.st. B"
5858,2346_1,Veltrusy A
5859,2346_2,Veltrusy B
5860,2347_1,"Klecany,Ahold A"
5861,2349_1,"Čelákovice,Žel.st. A"
5862,2349_2,"Čelákovice,Žel.st. B"
5863,2350_1,"Čelákovice,Záluží,Cihelna A"
5864,2350_2,"Čelákovice,Záluží,Cihelna B"
5865,2351_1,"Čelákovice,Záluží A"
5866,2351_2,"Čelákovice,Záluží B"
5867,2352_1,"Nehvizdy,Nehvízdky A"
5868,2352_2,"Nehvizdy,Nehvízdky B"
5869,2353_1,Nehvizdy A
5870,2353_2,Nehvizdy B
5871,2354_1,"Úvaly,Zálesí A"
5872,2354_2,"Úvaly,Zálesí B"
5873,2355_1,"Úvaly,Hodov A"
5874,2355_2,"Úvaly,Hodov B"
5875,2356_1,"Úvaly,Pivovar A"
5876,2356_2,"Úvaly,Pivovar B"
5877,2357_1,"Beroun,Hostim A"
5878,2357_2,"Beroun,Hostim B"
5879,2358_1,"Úvaly,Slovany A"
5880,2358_2,"Úvaly,Slovany B"
5881,2359_1,"Mnichovice,U křížku A"
5882,2359_2,"Mnichovice,U křížku B"
5883,2360_1,"Mnichovice,bytovky A"
5884,2360_2,"Mnichovice,bytovky B"
5885,2361_1,"Mnichovice,Závěrka A"
5886,2361_2,"Mnichovice,Závěrka B"
5887,2362_2,"Brandýs n.L.-St.Bol.,U Hřbitova B"
5888,2363_1,"Brandýs n.L.-St.Bol.,Proboštská jezera A"
5889,2363_2,"Brandýs n.L.-St.Bol.,Proboštská jezera B"
5890,2365_1,"Brandýs n.L.-St.Bol.,Zahradní Město A"
5891,2365_2,"Brandýs n.L.-St.Bol.,Zahradní Město B"
5892,2367_2,"Černošice,Komenského B"
5893,2368_1,"Nučice,Rozc.Krahulov A"
5894,2368_2,"Nučice,Rozc.Krahulov B"
5895,2369_1,"Loděnice,pod lanovkou A"
5896,2369_2,"Loděnice,pod lanovkou B"
5897,2370_1,Loděnice A
5898,2370_2,Loděnice B
5899,2371_1,"Loděnice,Jánská,II A"
5900,2371_2,"Loděnice,Jánská,II B"
5901,2372_1,"Vráž,U Jelena A"
5902,2372_2,"Vráž,U Jelena B"
5903,2373_1,"Vráž,rozc.k žel.st. A"
5904,2373_2,"Vráž,rozc.k žel.st. B"
5905,2374_1,"Dvory,Veleliby,hlavní silnice A"
5906,2374_2,"Dvory,Veleliby,hlavní silnice B"
5907,2375_3,"Řevnice,škola 3"
5908,2376_1,"Nová Ves p.Pleší,Včelník A"
5909,2376_2,"Nová Ves p.Pleší,Včelník B"
5910,2377_1,"Hlásná Třebaň,Rovina A"
5911,2378_1,"Sudovo Hlavno,Rozc.k háj. A"
5912,2378_2,"Sudovo Hlavno,Rozc.k háj. B"
5913,2379_1,"Zápy,Stavby mostů A"
5914,2379_2,"Zápy,Stavby mostů B"
5915,2380_1,"Úvaly,Náměstí Arnošta z Pardubic A"
5916,2380_2,"Úvaly,Náměstí Arnošta z Pardubic B"
5917,2381_1,"Barchovice,Radlice,rozc. A"
5918,2381_2,"Barchovice,Radlice,rozc. B"
5919,2382_1,Barchovice A
5920,2383_1,"Barchovice,Hryzely A"
5921,2383_2,"Barchovice,Hryzely B"
5922,2384_1,"Svojetice,K Tehovci A"
5923,2384_2,"Svojetice,K Tehovci B"
5924,2385_1,Horní Kruty A
5925,2385_2,Horní Kruty B
5926,2386_1,"Horní Kruty,Dolní Kruty A"
5927,2386_2,"Horní Kruty,Dolní Kruty B"
5928,2387_1,"Horní Kruty,Přestavlky A"
5929,2387_2,"Horní Kruty,Přestavlky B"
5930,2388_1,"Loděnice,Jánská,I A"
5931,2388_2,"Loděnice,Jánská,I B"
5932,2389_1,"Svatý Jan p.Skalou,Sedlec A"
5933,2389_2,"Svatý Jan p.Skalou,Sedlec B"
5934,2390_1,"Horní Kruty,Bohouňovice II A"
5935,2391_1,"Svatý Jan p.Skalou,Svatý Jánek A"
5936,2391_2,"Svatý Jan p.Skalou,Svatý Jánek B"
5937,2392_1,"Ždánice,rozc.Běšínov A"
5938,2392_2,"Ždánice,rozc.Běšínov B"
5939,2393_1,Svatý Jan p.Skalou A
5940,2393_2,Svatý Jan p.Skalou B
5941,2394_1,"Barchovice,Radlice A"
5942,2395_1,"Tismice,Limuzy A"
5943,2395_2,"Tismice,Limuzy B"
5944,2396_1,Rostoklaty A
5945,2396_2,Rostoklaty B
5946,2397_1,"Český Brod,Nem. A"
5947,2397_2,"Český Brod,Nem. B"
5948,2398_1,"Český Brod,Jungmannova A"
5949,2399_1,"Český Brod,Kollárova A"
5950,2400_1,"Český Brod,Muzeum A"
5951,2400_2,"Český Brod,Muzeum B"
5952,2402_1,"Český Brod,Štolmíř A"
5953,2402_2,"Český Brod,Štolmíř B"
5954,2403_1,"Český Brod,Zborovská A"
5955,2403_2,"Český Brod,Zborovská B"
5956,2404_1,"Český Brod,Liblice,Vodárna A"
5957,2404_2,"Český Brod,Liblice,Vodárna B"
5958,2405_1,"Český Brod,Liblice,SEŠ A"
5959,2405_2,"Český Brod,Liblice,SEŠ B"
5960,2406_1,"Český Brod,Liblice,Obec A"
5961,2406_2,"Český Brod,Liblice,Obec B"
5962,2407_1,"Klučov,Lstiboř A"
5963,2407_2,"Klučov,Lstiboř B"
5964,2408_1,"Chrášťany,Bylany A"
5965,2408_2,"Chrášťany,Bylany B"
5966,2408_3,"Chrášťany,Bylany C"
5967,2409_1,"Chrášťany,Bylany,Škola A"
5968,2409_2,"Chrášťany,Bylany,Škola B"
5969,2410_1,Chrášťany A
5970,2410_2,Chrášťany B
5971,2411_1,"Chrášťany,Chotouň A"
5972,2411_2,"Chrášťany,Chotouň B"
5973,2412_1,Klučov A
5974,2412_2,Klučov B
5975,2413_1,"Klučov,Žhery A"
5976,2413_2,"Klučov,Žhery B"
5977,2414_1,"Klučov,Skramníky A"
5978,2414_2,"Klučov,Skramníky B"
5979,2415_1,"Třebovle,Borek A"
5980,2415_2,"Třebovle,Borek B"
5981,2416_1,Třebovle A
5982,2416_2,Třebovle B
5983,2417_1,"Kouřim,rozc.Království A"
5984,2417_2,"Kouřim,rozc.Království B"
5985,2418_1,"Vitice,Lipany,Mohyla A"
5986,2418_2,"Vitice,Lipany,Mohyla B"
5987,2419_1,"Hradešín,ObÚ A"
5988,2420_1,Kounice A
5989,2420_2,Kounice B
5990,2421_1,Bříství A
5991,2421_2,Bříství B
5992,2422_1,Černíky A
5993,2422_2,Černíky D
5994,2423_1,Vykáň A
5995,2423_2,Vykáň B
5996,2424_1,"Rostoklaty,Žel.st. A"
5997,2424_2,"Rostoklaty,Žel.st. B"
5998,2426_1,"Rostoklaty,Nová Ves II A"
5999,2426_2,"Rostoklaty,Nová Ves II B"
6000,2427_1,"Vyšehořovice,Vyšehořovičky A"
6001,2427_2,"Vyšehořovice,Vyšehořovičky B"
6002,2428_1,"Přerov n.L.,U Skanzenu A"
6003,2428_2,"Přerov n.L.,U Skanzenu B"
6004,2429_1,"Přerov n.L.,Nový Přerov A"
6005,2429_2,"Přerov n.L.,Nový Přerov B"
6006,2430_1,"Lysá n.L.,škola A"
6007,2430_2,"Lysá n.L.,škola B"
6008,2431_1,"Lysá n.L.,pošta A"
6009,2431_2,"Lysá n.L.,pošta B"
6010,2432_1,"Lysá n.L.,žel.st. A"
6011,2432_2,"Lysá n.L.,žel.st. B"
6012,2432_12,"Lysá n.L.,žel.st. B"
6013,2433_1,"Lysá n.L.,Litol,Dobrovského sady A"
6014,2433_2,"Lysá n.L.,Litol,Dobrovského sady B"
6015,2434_1,"Lysá n.L.,Litol,Boženy Němcové A"
6016,2434_2,"Lysá n.L.,Litol,Boženy Němcové B"
6017,2435_1,"Lysá n.L.,Litol,U Mostu A"
6018,2435_2,"Lysá n.L.,Litol,U Mostu B"
6019,2436_1,"Tatce,žel.zast. A"
6020,2436_2,"Tatce,žel.zast. B"
6021,2437_1,"Tuklaty,Akátová A"
6022,2437_2,"Tuklaty,Akátová B"
6023,2437_3,"Tuklaty,Hlavní C"
6024,2437_4,"Tuklaty,Hlavní D"
6025,2438_1,"Tuklaty,Tlustovousy A"
6026,2438_2,"Tuklaty,Tlustovousy B"
6027,2439_1,Břežany II A
6028,2439_2,Břežany II B
6029,2440_1,"Úvaly,Hřbitov A"
6030,2440_2,"Úvaly,Hřbitov B"
6031,2441_1,"Čelákovice,U Hájku A"
6032,2441_2,"Čelákovice,U Hájku B"
6033,2442_1,"Čelákovice,Rozc.Sedlčánky A"
6034,2442_2,"Čelákovice,Rozc.Sedlčánky B"
6035,2443_1,"Přerov n.L.,Rozc.u obory A"
6036,2443_2,"Přerov n.L.,Rozc.u obory B"
